frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (Ch2-Ch1) (graus),T,T_dB
10.0,3.3831174374,0.9161891937,74.4455566406,0.07333920246076406,-11.346638171566074
25.76301385940817,3.955644846,2.3145968914,53.388256073,0.342386117368313,-4.654838528516759
66.3732883120057,4.0402474403,3.5609309673,28.2071743011,0.7768035137094189,-1.0968881865468543
170.99759466766963,4.0526762009,3.9823424816,10.0957593918,0.9655914269355159,-0.15206598804583418
440.54134013486333,4.0400500298,4.0430059433,3.8061673641,1.0014638407095113,0.0063527308658042955
1134.9672651536732,4.052479744,4.0554485321,-0.4081632793,1.0014657077805398,0.0063608275923775145
2924.0177382128636,4.0883350372,4.0928840637,-5.0526313782,1.0022266068088497,0.009659280780616295
7533.150951473333,4.100915432,4.0299139023,-12.4792757034,0.9656725989526124,-0.15170091565119365
19407.667236782134,4.0886144638,3.622879982,-34.8837089539,0.7851553111563379,-1.0504442719546814
49999.99999999999,4.0755643845,1.5570033789,-81.9161758423,0.14594982995635075,-8.357964066647408
